Franchisee_Name_,Status,Id,Reservation_Date,Pole_Class,Borough,X_Coord_,Y_Coord_,Latitude,Longitude,Zone,On_street,Cross_street_1,Cross_street_2,Park_Advisory,Historic_Landmark_Advisory,Scenic_Landmark_Advisory,BID_Advisory,School_Advisory,Zipcode,Community_Board,Council_District
Crown Castle,Approved,1516,1516,1516,1516,1516,1516,1516,1516,1516,1516,1516,1516,86,77,37,190,49,1516,1516,1516
Crown Castle,Installed,3014,3014,3014,3014,3014,3014,3014,3014,3014,3014,3014,3013,166,217,56,359,55,3014,3014,3014
Crown Castle,Proposed,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,137,129,55,191,19,1107,1107,1107
ExteNet,Approved,793,793,793,793,793,793,793,793,793,793,793,792,48,15,13,59,17,793,793,793
ExteNet,Installed,1419,1419,1419,1419,1419,1419,1419,1419,1419,1419,1419,1419,94,215,28,322,40,1419,1419,1419
ExteNet,Proposed,174,174,174,174,174,174,174,174,174,174,174,174,21,19,8,27,4,174,174,174
Mobilitie,Approved,152,152,152,152,152,152,152,152,152,152,152,152,5,2,1,11,4,152,152,152
Mobilitie,Installed,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1543,62,32,2,58,51,1546,1546,1546
Mobilitie,Proposed,264,264,264,264,264,264,264,264,264,264,264,264,26,20,3,16,7,264,264,264
ZenFi,Approved,236,236,236,236,236,236,236,236,236,236,236,235,9,2,0,19,9,236,236,236
ZenFi,Installed,577,577,577,577,577,577,577,577,577,577,577,572,25,11,1,26,20,577,577,577
ZenFi,Proposed,171,171,171,171,171,171,171,171,171,171,171,171,7,4,0,26,5,171,171,171
